stat_id,stat_name,Geomorphology,H1250,Basin Type,T0
1,ADCS,Basin,2.006220217,Type 4 Basin,5.8
3,AKSS,Hill,-15.23369639,Non-Basin,0.3
5,AMBC,Basin,-0.265460499,Type 4 Basin,6.2
6,APPS,Valley,-77.02447217,Unmodeled Basin,0.44
7,ARKS,Valley,-18.32372175,Type 3 Basin,0.37
9,ASHS,Basin,-1.38950004,Type 4 Basin,5.46
14,BFZ,Hill,28.30041106,Non-Basin,0.04
16,BMTS,Hill,-1.282553007,Non-Basin,0.05
17,BOWS,Basin Edge,-9.048006802,Type 3 Basin,0.62
18,BSWZ,Hill,-21.69009833,Non-Basin,0.05
20,BWHS,Basin,0.267319727,Type 4 Basin,5.5
21,BWRS,Hill,38.18894609,Non-Basin,0.05
22,CACS,Basin,0.891590291,Type 4 Basin,6.79
23,CBGS,Basin,-1.439513718,Type 4 Basin,4.35
24,CCCC,Basin,1.745118621,Type 4 Basin,2.51
26,CECS,Basin,-1.340820376,Type 1 Basin,2.2
27,CHHC,Basin,-3.400750769,Type 4 Basin,2.66
28,CMHS,Basin,-2.336321901,Type 4 Basin,0.695
29,CMWZ,Hill,61.98427961,Non-Basin,0.05
30,COLD,Basin,-0.170989627,Type 4 Basin,5.9
31,CPFS,Hill,-16.11723631,Non-Basin,0.33
32,CRLZ,Hill,4.459638562,Non-Basin,0.05
34,CSHS,Valley,-16.47247441,Unmodeled Basin,1.95
35,CSTC,Basin,0.752992764,Type 4 Basin,6.04
36,CUBS,Basin,-9.012552964,Type 3 Basin,0.63
37,CULC,Basin,0.975437896,Type 1 Basin,2.4
43,D09C,Basin,4.274859904,Type 4 Basin,
46,D14C,Hill,50.37307881,Non-Basin,0.05
48,DALS,Basin,-0.078081892,Type 4 Basin,5.2
49,DAVS,Basin Edge,-13.98348428,Type 3 Basin,0.6289
51,DCZ,Hill,-61.54723716,Non-Basin,0.05
53,DFHS,Basin,0.212016787,Type 4 Basin,5.6
55,DHSS,Hill,11.85922189,Non-Basin,0.19
58,DSLC,Basin,-0.131100059,Type 4 Basin,5.6
59,DSZ,Hill,10.80030693,Non-Basin,0.05
64,EBPS,Hill,-27.43111213,Non-Basin,0.38
70,EKTS,Valley,8.760821401,Unmodeled Basin,0.4
71,EYRS,Basin,-0.034807988,Type 4 Basin,6.2
73,FAIS,Hill,18.13734526,Non-Basin,0.05
77,FKPS,Basin Edge,-2.802325991,Type 3 Basin,0.41
80,FXBS,Basin,-1.256276194,Unmodeled Basin,1.5
84,GKBS,Hill,-16.20067003,Non-Basin,0.05
86,GLWS,Valley,-19.53130865,Unmodeled Basin,1
89,GODS,Hill,55.47276034,Non-Basin,0.05
91,GOVS,Hill,-24.34510557,Non-Basin,0.28
94,GVZ,Hill,55.26868048,Non-Basin,0.05
95,GWTS,Basin,0.338654494,Unmodeled Basin,1.5
96,HAFS,Basin Edge,-12.66711849,Unmodeled Basin,1.1
97,HALS,Basin,-0.387684401,Type 4 Basin,4.177
98,HAVS,Hill,-26.23986484,Non-Basin,0.05
102,HDWS,Basin,-0.842392426,Unmodeled Basin,0.87
103,HHSS,Basin,-0.547685316,Type 4 Basin,4.29
106,HNPS,Basin,0.452552342,Unmodeled Basin,2.65
107,HOCS,Basin,-0.277515215,Unmodeled Basin,1.8
109,HPSC,Basin,-0.240621298,Type 4 Basin,5.24
110,HSES,Basin,2.615114668,Type 1 Basin,0.71
113,HUNS,Hill,20.50782959,Non-Basin,0.05
115,HWHS,Hill,0.153312927,Non-Basin,0.6
118,INGS,Valley,-2.036468385,Unmodeled Basin,0.53
119,INHS,Hill,0.615737324,Non-Basin,1.5
121,INZ,Hill,3.366042979,Non-Basin,0.05
124,KAFS,Basin,-0.409189963,Unmodeled Basin,1.2
127,KEKS,Hill,59.50964172,Non-Basin,0.05
130,KHZ,Hill,-30.28349264,Non-Basin,0.05
131,KIKS,Hill,1.404660325,Non-Basin,0.05
132,KILS,Basin,1.323192735,Type 4 Basin,5
