Site,Latitude (°),Longitude (°),VS30 (m/s),T0 (s),Z1.0 (m),Z2.5 (m),Geomorphology,Basin Type,H1250 (m),r1250 (m),Slope (m/m)
ADCS,-43.9024,171.7476,431,5.8,1135,2175,Basin,Type 4 Basin,2.01,12.49,0.0122
AKSS,-43.8109,172.9635,435,0.3,10,1425,Hill,Non-Basin,-15.23,193.59,0.0734
AMBC,-43.1547,172.7309,240,6.2,845,2075,Basin,Type 4 Basin,-0.27,12.05,0.0019
APPS,-42.9489,171.5677,300,0.44,30,275,Valley,Unmodeled Basin,-77.02,560.17,0.0238
ARKS,-41.2421,174.9441,267,0.37,20,275,Valley,Type 3 Basin,-18.32,133.98,0.0399
ASHS,-43.2744,172.5959,287,5.46,1085,3325,Basin,Type 4 Basin,-1.39,22.63,0.0208
BFZ,-40.6796,176.2462,800,0.04,0,325,Hill,Non-Basin,28.30,291.00,0.2376
BMTS,-41.1914,174.9260,1000,0.05,15,275,Hill,Non-Basin,-1.28,106.58,0.3682
BOWS,-41.2792,174.7763,267,0.62,65,325,Basin-edge,Type 3 Basin,-9.05,208.05,0.0257
BSWZ,-41.7149,173.8757,675,0.05,35,875,Hill,Non-Basin,-21.69,352.61,0.2878
BWHS,-43.4804,172.6822,203,5.5,715,2625,Basin,Type 4 Basin,0.27,3.19,0.0014
BWRS,-41.4395,173.9051,679,0.05,5,325,Hill,Non-Basin,38.19,168.90,0.2752
CACS,-43.4832,172.5300,435,6.79,595,2675,Basin,Type 4 Basin,0.89,6.29,0.0027
CBGS,-43.5293,172.6199,197,4.35,545,2375,Basin,Type 4 Basin,-1.44,12.05,0.0006
CCCC,-43.5381,172.6474,182,2.51,495,2075,Basin,Type 4 Basin,1.75,24.54,0.0028
CECS,-42.8135,173.2749,244,2.2,233,4325,Basin,Type 1 Basin,-1.34,70.18,0.0127
CHHC,-43.5359,172.6275,196,2.66,515,2175,Basin,Type 4 Basin,-3.40,19.51,0.0036
CMHS,-43.5656,172.6242,213,0.695,125,1625,Basin,Type 4 Basin,-2.34,74.39,0.0051
CMWZ,-41.7490,174.2138,800,0.05,95,5325,Hill,Non-Basin,61.98,166.11,0.0555
COLD,-43.6005,172.1026,493,5.9,615,1625,Basin,Type 4 Basin,-0.17,7.83,0.0047
CPFS,-40.8988,176.2210,245,0.33,10,8625,Hill,Non-Basin,-16.12,99.60,0.0838
CRLZ,-43.5747,172.6232,900,0.05,0,1525,Hill,Non-Basin,4.46,164.19,0.2471
CSHS,-43.2265,171.7236,377,1.95,58,325,Valley,Unmodeled Basin,-16.47,197.35,0.0340
CSTC,-43.3123,172.3813,399,6.04,575,2825,Basin,Type 4 Basin,0.75,29.85,0.0044
CUBS,-41.2955,174.7744,278,0.63,47,325,Basin,Type 3 Basin,-9.01,131.76,0.0385
CULC,-42.7594,172.8026,407,2.4,70,475,Basin,Type 1 Basin,0.98,20.34,0.0067
D09C,-43.5323,172.6326,181,,,,Basin,Type 4 Basin,4.27,28.31,0.0082
D14C,-43.6325,172.6247,726,0.05,0,1475,Hill,Non-Basin,50.37,360.53,0.3251
DALS,-43.5120,172.6732,188,5.2,625,2325,Basin,Type 4 Basin,-0.08,3.56,0.0007
DAVS,-41.2058,174.9544,300,0.6289,35,275,Basin-edge,Type 3 Basin,-13.98,159.30,0.0169
DCZ,-45.4647,167.1535,1500,0.05,0,425,Hill,Non-Basin,-61.55,437.35,0.2946
DFHS,-43.4897,172.1022,515,5.6,797,1225,Basin,Type 4 Basin,0.21,12.19,0.0048
DHSS,-43.6303,172.7272,535,0.19,32,1375,Hill,Non-Basin,11.86,165.69,0.1001
DSLC,-43.6675,172.1979,500,5.6,455,1475,Basin,Type 4 Basin,-0.13,9.30,0.0126
DSZ,-41.7450,171.8046,800,0.05,40,375,Hill,Non-Basin,10.80,394.22,0.0372
EBPS,-41.2894,174.9002,540,0.38,7,275,Hill,Non-Basin,-27.43,259.77,0.2853
EKTS,-40.6495,175.7088,315,0.4,6,275,Valley,Unmodeled Basin,8.76,65.24,0.0266
EYRS,-43.4214,172.3554,318,6.2,845,1725,Basin,Type 4 Basin,-0.03,9.67,0.0018
FAIS,-41.2074,174.9401,1000,0.05,15,275,Hill,Non-Basin,18.14,172.11,0.3472
FKPS,-41.2879,174.7788,323,0.41,30,325,Basin-edge,Type 3 Basin,-2.80,104.90,0.0584
FXBS,-40.4614,175.2260,258,1.5,283,325,Basin,Unmodeled Basin,-1.26,5.72,0.0032
GKBS,-38.6822,178.0319,576,0.05,0,10175,Hill,Non-Basin,-16.20,144.73,0.3995
GLWS,-42.5942,172.5110,334,1,83,325,Valley,Unmodeled Basin,-19.53,143.11,0.0401
GODS,-43.5784,172.7693,681,0.05,3,1725,Hill,Non-Basin,55.47,246.26,0.3836
GOVS,-43.6524,172.6357,479,0.28,5,1175,Hill,Non-Basin,-24.35,437.63,0.0871
GVZ,-42.9674,173.0348,714,0.05,23,2125,Hill,Non-Basin,55.27,211.59,0.0399
GWTS,-38.6257,177.9216,156,1.5,180,9175,Basin,Unmodeled Basin,0.34,5.77,0.0011
HAFS,-43.1489,170.5561,240,1.1,73,325,Basin-edge,Unmodeled Basin,-12.67,151.84,0.0279
HALS,-43.5909,172.5695,182,4.177,85,1325,Basin,Type 4 Basin,-0.39,29.63,0.0047
HAVS,-41.2723,173.7847,675,0.05,28,275,Hill,Non-Basin,-26.24,266.52,0.3078
HDWS,-43.8830,169.0441,214,0.87,88,325,Basin,Unmodeled Basin,-0.84,57.22,0.0075
HHSS,-43.5575,172.5928,180,4.29,275,1725,Basin,Type 4 Basin,-0.55,6.36,0.0043
HNPS,-39.6710,176.8801,256,2.65,302,5625,Basin,Unmodeled Basin,0.45,51.19,0.0782
HOCS,-40.6216,175.2794,250,1.8,183,275,Basin,Unmodeled Basin,-0.28,18.06,0.0137
HPSC,-43.5016,172.7022,194,5.24,645,2225,Basin,Type 4 Basin,-0.24,2.09,0.0008
HSES,-42.5232,172.8305,280,0.71,190,325,Basin,Type 1 Basin,2.62,56.07,0.0173
HUNS,-43.5794,172.6572,680,0.05,33,1625,Hill,Non-Basin,20.51,286.16,0.2020
HWHS,-39.5851,174.2742,210,0.6,49,1425,Hill,Non-Basin,0.15,7.04,0.0026
INGS,-41.8571,171.9525,334,0.53,53,325,Valley,Unmodeled Basin,-2.04,129.86,0.0460
INHS,-39.1562,174.1905,317,1.5,138,1775,Hill,Non-Basin,0.62,33.81,0.0162
INZ,-42.7245,171.4441,1500,0.05,0,275,Hill,Non-Basin,3.37,61.90,0.0709
KAFS,-38.0835,176.7093,220,1.2,78,325,Basin,Unmodeled Basin,-0.41,22.64,0.0077
KEKS,-41.9557,173.9814,622,0.05,28,3625,Hill,Non-Basin,59.51,288.71,0.0796
KHZ,-42.4160,173.5390,600,0.05,35,1175,Hill,Non-Basin,-30.28,241.78,0.3920
KIKS,-42.4258,173.6821,800,0.05,0,4925,Hill,Non-Basin,1.40,103.62,0.0565
KILS,-43.5269,172.6406,201,5,595,2475,Basin,Type 4 Basin,1.32,31.17,0.0532
KIRS,-41.0769,175.2300,329,0.43,43,325,Hill,Non-Basin,-32.91,259.45,0.1807
