,bias,tau,phi_S2S,phi_SS,sigma
AI,-0.122137491,0.705830467,0.767154227,0.738484409,1.277529444
CAV,0.207186666,0.317541005,0.403153449,0.305552417,0.5972665
Ds575,0.15783565,0.283952727,0.329591029,0.523143526,0.680395875
Ds595,0.505428196,0.26695151,0.285773375,0.371169104,0.539162345
PGA,0.074544697,0.403322073,0.409152599,0.484261196,0.751387683
PGV,0.026638158,0.380926896,0.323828342,0.47526749,0.689818297
pSA_0.010000000000,0.077343118,0.40346177,0.410291929,0.482660733,0.751054093
pSA_0.010722672220,0.077649967,0.403512357,0.410159878,0.482756709,0.751070827
pSA_0.011497569954,0.078070821,0.403267408,0.409960226,0.482806393,0.750862173
pSA_0.012328467394,0.078413332,0.402794134,0.409764926,0.482751576,0.750466184
pSA_0.013219411485,0.078883179,0.402240388,0.409921276,0.482542587,0.750120078
pSA_0.014174741629,0.079847122,0.402016466,0.41063515,0.481983276,0.750030896
pSA_0.015199110830,0.08280368,0.401736386,0.410919656,0.481424732,0.749677838
pSA_0.016297508346,0.086108505,0.401784301,0.411427714,0.480856134,0.749617243
pSA_0.017475284000,0.086275878,0.402197443,0.412591406,0.480310495,0.750128404
pSA_0.018738174229,0.088079784,0.402480985,0.413768336,0.479787068,0.750593638
pSA_0.02,0.090816867,0.402801721,0.416001282,0.479348523,0.751718896
pSA_0.020092330026,0.090982435,0.402861185,0.416151096,0.479325885,0.751819242
pSA_0.021544346900,0.092793448,0.40344213,0.418312225,0.478567693,0.752846403
pSA_0.023101297001,0.094091796,0.404000418,0.421118868,0.477625449,0.754111072
pSA_0.024770763560,0.094662469,0.403957205,0.424520812,0.476668831,0.755388985
pSA_0.026560877829,0.096208533,0.40344734,0.429591372,0.475939692,0.757520358
pSA_0.028480358684,0.096396567,0.402383505,0.435746244,0.476259581,0.760664488
pSA_0.030538555088,0.09433396,0.403002966,0.439526775,0.475906089,0.762942843
pSA_0.032745491629,0.090292335,0.404273507,0.444088326,0.477120596,0.767004285
pSA_0.035111917342,0.08742531,0.404986163,0.451230401,0.476922133,0.771412592
pSA_0.037649358068,0.081949885,0.405206987,0.457852873,0.475664531,0.774647469
pSA_0.040370172586,0.075259909,0.40573826,0.464911791,0.475021874,0.778724785
pSA_0.043287612811,0.069627072,0.405282173,0.475009479,0.474426892,0.784199287
pSA_0.046415888336,0.061431803,0.404531012,0.481694214,0.473688812,0.787436185
pSA_0.049770235643,0.053694683,0.407064905,0.490168408,0.474236495,0.794271464
pSA_0.05,0.052994939,0.407249367,0.490811692,0.474206741,0.794745366
pSA_0.053366992312,0.043128985,0.409497024,0.503107875,0.474414242,0.803663001
pSA_0.057223676594,0.03208525,0.409745103,0.515277633,0.476102221,0.812450253
pSA_0.061359072734,0.016814038,0.411329826,0.519207295,0.477597947,0.81662001
pSA_0.065793322466,0.000829581,0.413061389,0.521867126,0.477784687,0.819294339
pSA_0.070548023107,-0.008123355,0.41657938,0.52138705,0.479056035,0.821509294
pSA_0.075646332755,-0.020986098,0.42000454,0.518853281,0.479544696,0.821934094
pSA_0.081113083079,-0.035304461,0.42124085,0.513620934,0.481098075,0.820186366
pSA_0.086974900262,-0.039395264,0.423695232,0.508804856,0.480890121,0.818324715
pSA_0.093260334688,-0.041415456,0.42457222,0.505269517,0.481619857,0.817016855
pSA_0.1,-0.049870297,0.422596937,0.504106169,0.483181995,0.81619608
pSA_0.107226722201,-0.055888351,0.421599503,0.496179117,0.48436174,0.811508566
pSA_0.114975699540,-0.05435005,0.421222358,0.483337011,0.48554858,0.804238997
pSA_0.123284673944,-0.057777414,0.422682874,0.470845839,0.490409059,0.800535859
pSA_0.132194114847,-0.060748443,0.421434982,0.464386578,0.493061728,0.797729406
