,AI,CAV,Ds575,Ds595,PGA,PGV,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.02,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.05,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.1,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.2,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.3,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.4,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.5,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.75,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.0,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_10.0,pSA_2.0,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.0,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.0,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.0,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.5,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832
stat_1,0.22486389968170686,0.09496378193692642,0.1465999088668312,0.10834053895048576,0.1436666886046842,0.13630778873328098,0.14331556450439278,0.14333437164905027,0.14333591332601817,0.14330929560828434,0.1432586705446695,0.14314708000149862,0.14301609353052075,0.14289501605639746,0.1428109315882614,0.14273120261982886,0.14271699538698968,0.1427180405488684,0.14261999009486193,0.14249881568759612,0.14238874872071153,0.14239208875775172,0.1426934737726798,0.14274395004384352,0.14323171146707525,0.14343055725477222,0.14331980415946965,0.1433764302433531,0.1435141831610159,0.14349896327467757,0.14389915739611592,0.14390999969985394,0.14430181556704294,0.1450524199276115,0.14556480754973358,0.14569408410272405,0.1460634398220863,0.14617129843754245,0.1464783531488517,0.14632785607126012,0.14644342373068278,0.14681357131904255,0.14690938158626246,0.146859027688221,0.14777025661471657,0.14823896617392882,0.1488323937823323,0.14909629455233958,0.14983632146582193,0.15033106306214336,0.15063251028194288,0.1505366650879223,0.15053135346563906,0.15065590591579966,0.15060850170110757,0.15080334138390325,0.15065613281152637,0.1498668283939519,0.14947509214578733,0.14938004212041675,0.14884654704078187,0.1473580195226579,0.14666232756710293,0.14596374364215897,0.14582577313194525,0.14532774933120207,0.14445837047497234,0.14298075888403108,0.14287642138683498,0.14061638954429367,0.13906802097764437,0.1377372320200547,0.1361796893498449,0.13353328787831026,0.13093685431417257,0.13070113026603158,0.1289553022982748,0.12713585811574177,0.12520894402729377,0.12298477276008628,0.12168324596333488,0.12083902418096935,0.12099547843186484,0.12072860609279783,0.12008863380436356,0.11985297493507513,0.11870943364595002,0.11793411666306786,0.11822643856255682,0.10865342788453104,0.11825329928325269,0.11826367557868703,0.1182146670251893,0.11745139350335689,0.1163336130289943,0.11529395060956928,0.11417936410496264,0.1137559933467065,0.11366558735265338,0.11318725423798684,0.11212473455331003,0.11123575356184019,0.11035838755854813,0.11023745893163732,0.10936255348029197,0.10834376208929776,0.10721998362657285,0.10712012752358646,0.10641812443162624,0.10629578208580184,0.1064962231136308,0.1067917666053125,0.10682534035716815,0.10673048832370292,0.10670882418364372,0.10682179303130035,0.1073639323851041,0.10781478259327232
stat_3,0.12601983883715676,0.05300538636714551,0.08438454091412988,0.0613537944506307,0.0810720163237287,0.07828041331079305,0.08084813156219514,0.08086148167280288,0.08086399215443071,0.0808485312399099,0.08081320567247066,0.08073548415747239,0.08065241326296753,0.08057384172736806,0.080509828578291,0.08044774212716288,0.08040998122641187,0.08040886280817222,0.08032509420442849,0.08021993473758754,0.0801113643260333,0.08004711090832757,0.08014224122235042,0.08013168477065585,0.08037050645893054,0.0804125757892273,0.08028258773462713,0.08025011840481762,0.08023382336676836,0.08016283731136187,0.08033805198020277,0.08034038316626924,0.08048414307314689,0.08082194543298671,0.08109412444176882,0.08116140583919022,0.08139715033063408,0.08149951244907691,0.08171690287874113,0.08168417628358834,0.08178134931421752,0.08198489775172314,0.08209415371263544,0.08217153973057154,0.08281930008994796,0.08314732981543883,0.08352939310425855,0.08376366974520892,0.08428710551743977,0.08471368843236386,0.08504375299230506,0.0850689073577059,0.08506925453310116,0.08519452575301603,0.08527560208815584,0.08550452102211742,0.08555907972937216,0.0852198513253159,0.08499989476591475,0.08495075669023956,0.08464609336811245,0.08381598494745038,0.0834869089721979,0.0831048926038061,0.0830302374495952,0.08277072527753426,0.08220168026100225,0.08115550683901773,0.08108416626068861,0.0796772324515377,0.07861940925797993,0.07771990675642296,0.07681683954128574,0.0752960685998088,0.07370248746097081,0.07354828299273873,0.07235043211250855,0.07125884175337568,0.07019143080951068,0.06890597105843983,0.06813391619646851,0.06756662604965857,0.06762313351773219,0.06744760408770095,0.06707170692283781,0.06692466218323868,0.06625855644637718,0.06581530073680993,0.06601304641506717,0.06175739768986944,0.06608328426319193,0.06609321925947884,0.06618187693070464,0.0658647486038237,0.06533686923079456,0.06476254365458187,0.0641637566105257,0.06396094076835514,0.0639131594516311,0.06371898084250377,0.06325088289528821,0.0628220589495575,0.062416326993902455,0.06236151418982264,0.06199935663724127,0.061492754511612555,0.06097525916427123,0.06092498935026406,0.0605666867220004,0.06055657072121269,0.060729620368515994,0.06087959158028712,0.06079937824665311,0.06071907196490581,0.06070895332622532,0.06079573362166764,0.06112469544548721,0.06136165696778648
stat_5,0.1696991105046834,0.07123750270836994,0.11360172641572419,0.08282242621632364,0.10930227046454638,0.10501152253637765,0.10900347048151067,0.10902050938350444,0.1090246734433732,0.1090061623381994,0.10896319141189864,0.10886316476938637,0.10875393573833336,0.10864949724355312,0.108565444859577,0.10848491693128047,0.10844236652617882,0.10844113492577565,0.10833320581023803,0.10819891428445731,0.10806676738344195,0.10800538959190112,0.10816996563985928,0.10816575777974631,0.10850029897083674,0.10857879732676576,0.10842168140596699,0.1083956713563271,0.10840812217379837,0.10833602153478117,0.10857777479192825,0.1085809726437406,0.10878921596664343,0.10928236011479724,0.1096531770985814,0.10973557815724319,0.1100279957191139,0.11013208175190534,0.11041059956691766,0.11033163395883429,0.11045004717241352,0.1107472604336754,0.11088767353192282,0.1109626216216195,0.11180263001363423,0.11224103507153393,0.11276799612615848,0.11306876066113315,0.11375538255195472,0.11428576584614503,0.11470152099774746,0.11472126407147766,0.11472107739086952,0.1148676386162826,0.11491876715440039,0.11517007123947298,0.11517167089935519,0.11463125129781566,0.11431177575171399,0.11424285438708685,0.11383776534536007,0.11271255752261058,0.1122566667559642,0.11176295884357614,0.11166370913952083,0.11132624783077448,0.1105900652814086,0.10925521226991905,0.10916331872703035,0.1072971719065454,0.10593685584660296,0.1047947480226011,0.10358737304900303,0.10152263475486109,0.09941548237292562,0.09921472027386996,0.09769728636179924,0.09623702787468462,0.09476335536716145,0.09301919834879144,0.09200392204066857,0.09128478253180808,0.0913987282037994,0.09120004631773632,0.09072261597649058,0.09056168794775504,0.08966033002152275,0.08905034778222899,0.08929197025248062,0.08300802451010167,0.08934462354120794,0.0893555752153895,0.0894159276931586,0.08891112136343143,0.08814194073360943,0.08734964266572649,0.08651002655172826,0.08623050299389248,0.08617130637663865,0.08589872733183825,0.08522833086719504,0.08463888337506152,0.08405603197693191,0.083978115838182,0.08344193725058625,0.08272016698154346,0.08196714621195923,0.08189617622810777,0.08139480529089489,0.08136336251705435,0.08157854251299852,0.0817928641090988,0.08171232816067013,0.08159631513614937,0.08158040224991209,0.08168519200105905,0.08212727624433319,0.08245027531777609
stat_6,0.20123982321857217,0.08498655957336906,0.13090014289757265,0.09678135250293778,0.12854443910709723,0.12249545760282433,0.1282265038024255,0.12824442269686578,0.12824500096654418,0.1282186648102272,0.12816821756081412,0.12806294644626717,0.1279425691616932,0.12783238385533657,0.1277542793461876,0.1276790177968341,0.12765641337775244,0.12765698977267811,0.12756278258812156,0.12744474943239478,0.1273290659983675,0.12730234573417856,0.12753056906604732,0.12756277834848592,0.1279839109416993,0.12813441862846764,0.12801121437142435,0.12803807931053415,0.12811844176297413,0.12807546787076118,0.12842150590567142,0.12843059251669764,0.12875681494168323,0.12938291497051246,0.1298354168960056,0.12995693074403478,0.13031295915102725,0.13044421883249196,0.13073880100178684,0.13064147524024627,0.130760819953942,0.13107276065534332,0.1311734137084363,0.13116957735540236,0.1320323843234774,0.13246256069331522,0.13298663460499027,0.13324391958215642,0.13393100505126238,0.13442532520206146,0.13472665161310624,0.13465442296211588,0.13465028262286236,0.1347856437002979,0.13480735371643837,0.13504379116156556,0.13499042481431833,0.1343780535960012,0.13405481254254584,0.13397269678544815,0.1334888213737101,0.13216354806918684,0.13155184401144038,0.1308994030643259,0.13077387941714266,0.13031011495813863,0.12950087738320162,0.12810252106591097,0.1280047665980563,0.12595243429268546,0.1244953321254665,0.12322612961321151,0.12182117131863703,0.11946818762670244,0.11709647943084094,0.11687709668325766,0.11520305752143767,0.11355836613728713,0.11186869080783357,0.10988475231868859,0.10869233210467823,0.10788420707812262,0.10798614429866706,0.10770923632215275,0.10710699261161652,0.10685797833036312,0.10583649058499621,0.10515437695288209,0.10544316948122238,0.09749682013893522,0.10551278786348751,0.10552480530722026,0.10554883759477188,0.10495016840450108,0.10401441054815917,0.10310193743958088,0.10213722240955578,0.10176833972655068,0.10168309999679445,0.10127300668275382,0.1003708736182462,0.09959076661511246,0.0988463020700685,0.09874270065582802,0.09801324106076695,0.09714429869237504,0.09619922595920559,0.09611336427808938,0.09550512114198141,0.09541427034820803,0.09561206777209251,0.0958630866706057,0.09586511252378042,0.0957892810687599,0.09577238240920859,0.0958867881573568,0.09637324623290024,0.09677293998594985
stat_7,0.16727648652638438,0.0704843394545347,0.11130473447293762,0.08127989793873192,0.10741173664555462,0.10298665554268824,0.10712623594967922,0.1071423915724036,0.10714553188398476,0.10712647205741747,0.10708468068770106,0.10698973771171824,0.10688457230359191,0.10678510666611772,0.1067077382163413,0.10663366067287991,0.10659943844204312,0.10659876195558936,0.10650146701380703,0.10638055097653766,0.1062626032370258,0.10621712290892486,0.10639204629383814,0.10639955727354225,0.10673761011272594,0.10683438370520673,0.10670104578652113,0.10669589426099331,0.1067337446041292,0.10667989775682268,0.1069401307005251,0.10694523012987503,0.1071818533741755,0.10768814999615489,0.1080592124865305,0.10814912499132993,0.10843841695402918,0.10854048901492393,0.10879910229367608,0.10871592926315277,0.10882297489144645,0.10910283237544914,0.10921579815245859,0.10925336540911504,0.11003322890085517,0.11043672626949157,0.11092709110433913,0.1111939329242683,0.11183491542418701,0.1123202106621225,0.11268399786847275,0.11268238978175588,0.1126813610441758,0.11281624661391038,0.11285447258965897,0.11308581738355743,0.11307176834890895,0.11253803187692031,0.1122314386756433,0.11216329471233705,0.1117644057128983,0.11065789577615613,0.11019584014420196,0.10970060481018201,0.1096017752325178,0.10926057719110482,0.10854864681438434,0.10727240012512494,0.10718432370285497,0.10538017188459768,0.10407879374592598,0.10297922398984892,0.10179709168149792,0.09978470405159498,0.09774475034891404,0.09755255196764759,0.09610129438757885,0.0946891592359319,0.09325127553517018,0.09155821119589108,0.0905639570005049,0.08987488924461237,0.08997966770607278,0.08977368961290404,0.08929403986647923,0.08912025536388339,0.088246568180045,0.0876576295786327,0.0878942558029548,0.08152190904047447,0.08794458238844718,0.08795482667286827,0.08799336086007473,0.0874882284453136,0.08671710157710033,0.08594266088138221,0.08512132476334308,0.08483372416038097,0.08477141402226455,0.08447658909604693,0.08378351946179853,0.08318172821017858,0.08259185833794046,0.0825122152034608,0.08195964194855801,0.08124273859152296,0.08048611742229964,0.08041563350232925,0.07991782047014198,0.07987564365507914,0.08007602749841418,0.08028751291117954,0.08022772561569556,0.08012429522738825,0.08010878898934927,0.08020892476871713,0.08063697054136469,0.08095838108588327
stat_9,0.09171193985891736,0.03886218509420497,0.059883429526849455,0.0439306014636287,0.0584878844206942,0.05647952544771877,0.05833714000207186,0.058346710410515173,0.05834618520434091,0.0583313407577648,0.05830212905433633,0.05824709404468419,0.05818811328361702,0.05813520091636572,0.05809535830188549,0.05805562868539827,0.058032364710388376,0.05803212592564429,0.05798040903084595,0.05791399325382474,0.057839503960837244,0.05779016705062704,0.05784262948440384,0.05784104033593215,0.058013671147996604,0.0580483204119145,0.05796287537793057,0.05794637491364753,0.05793089484448551,0.057875812277161216,0.0580201414962023,0.05802370217229695,0.05814492318445627,0.05837448756155033,0.058573583626216716,0.058637573768177506,0.05883266645850577,0.05893734509499324,0.05909446217484005,0.059097789726259835,0.05917113872875444,0.059285889297580385,0.05934711306897816,0.05939342599157415,0.05984171020800082,0.060049509853178355,0.060279384239481225,0.06042382168103345,0.0607704131734412,0.06106361743871203,0.061250917543014226,0.06124220342090218,0.061241402211568596,0.061334673188157475,0.061424012334296715,0.06161091401925094,0.06168526766933512,0.06151717456650821,0.06139894694406129,0.06136523108677594,0.061137706760361704,0.06054290842450558,0.060283866880915464,0.05996086968395633,0.0599021826468618,0.05967685944102338,0.059265074872038394,0.05852064050837452,0.05846996507804143,0.057488418827375785,0.056729664503368894,0.05605318645161447,0.055399425362391196,0.05434360765481023,0.05320201715541905,0.05309146123648464,0.052190738338657325,0.051421356907728685,0.05069554941494219,0.04980219834728209,0.049224836603307905,0.048792223579552305,0.048790679329264675,0.04861761072762397,0.04830793306673184,0.04815017101076573,0.04768639655413326,0.04738934843829288,0.047553638835676655,0.044711086593741727,0.04764080694501076,0.04764961932681232,0.04774383636477274,0.04757574888488729,0.04723003171528883,0.04683771293459879,0.04644088435653064,0.04628432732901801,0.04623960209638187,0.04607401527556427,0.04572423650411527,0.04538980558400804,0.04510282868691166,0.045061764576489916,0.04479961654184172,0.044457627835158546,0.044105144821243746,0.04407050980104269,0.04381932657907923,0.04380410613212246,0.04392054465803577,0.04401835767649943,0.04397845763077904,0.04395217985105966,0.04394751314864682,0.04401653723404825,0.04424106050548045,0.04441738556969021
stat_14,0.3992907665647144,0.1755246504411547,0.22942499869341543,0.17946874566054855,0.2438113110792825,0.218727866943278,0.2435718762196644,0.24357399621211043,0.24354128921651638,0.2434728168422824,0.24343092682401654,0.24340758622135517,0.24329097185024093,0.24322487990415573,0.24331033474957034,0.24340025120051575,0.24373270214143944,0.24375771218851694,0.24397410858428883,0.24425381298943954,0.24462101772227093,0.24535528031899376,0.24659460362072372,0.24718789464133972,0.2484468124034659,0.24965856819582674,0.25036569530273994,0.2513213056008509,0.2527014374933225,0.25343639130201756,0.25494963112483116,0.2550366330912651,0.2569045505463573,0.2591802002381885,0.2603045678483617,0.26076720239150514,0.26128478992716836,0.2612301040623653,0.2611484105783813,0.26047380431194794,0.2602729375959858,0.26063470335255623,0.25988928433312725,0.25834658877989863,0.25804119202082393,0.25780227074788964,0.2578443396249708,0.2570911639670884,0.2568951026810187,0.25600507169548803,0.25444989685584174,0.25328532809662707,0.2532350895712641,0.252912814516132,0.25197026267646294,0.25128117806522166,0.2499361303735815,0.248078528190078,0.24766163479289457,0.24746877168125994,0.2465494803589242,0.2439586930560466,0.24204629471979994,0.24045808376655015,0.24016547401228708,0.2388951067729161,0.23813440445138356,0.23769590432873391,0.2376441882485508,0.23532363047409938,0.23459508108409025,0.23369017874904702,0.23128669022103387,0.22740562955668212,0.2244773779649405,0.224320791843527,0.22349727407122172,0.22134471012903395,0.2182390719210156,0.2151585569935472,0.21323122476110382,0.21272309602574144,0.21298122662180782,0.21239819020932987,0.2111338478787806,0.21042363827167448,0.20890458376990953,0.20788232293150521,0.20817122482907255,0.18096962362306146,0.20787352566922834,0.2078556352577903,0.20661628954267752,0.20449614368595695,0.20168337086612917,0.19996887962593127,0.1980319683796887,0.196795352796887,0.19651466166710885,0.1946086039604284,0.19123508088324473,0.18874348094500198,0.18635239768075945,0.1859959810614845,0.18315975544933738,0.1809105759547442,0.17800123540637924,0.1777838563814933,0.1762773816114395,0.1754607458907958,0.17518960666418243,0.17578206416281575,0.17688378850736552,0.17718597850559772,0.1771461085079786,0.17715687314636802,0.17777176032183334,0.17873833379579232
stat_16,0.13067188533423715,0.05516690566043084,0.08688914048036006,0.06335197532281603,0.08381221742401293,0.08065855244713514,0.08358817110580384,0.08360128897887611,0.0836032429966066,0.08358699590871467,0.08355176551945341,0.08347517186729672,0.08339166664600695,0.08331339321408063,0.08325205603319205,0.08319275540350977,0.08316178034794534,0.08316112907778142,0.08308292513477229,0.08298505487174689,0.0828857853179176,0.0828371028233558,0.08295410404977743,0.08295522425980763,0.0832126725973063,0.0832775665437912,0.0831651821979679,0.08315306483539375,0.08316578691158966,0.08311228137614073,0.0833145905135719,0.08331874503762474,0.08349878209713056,0.08387525882342771,0.0841633799336381,0.08423918420835085,0.08447920810910682,0.08457759037576716,0.08478573314614705,0.08473948345894124,0.08482896335706003,0.0850334349334355,0.08512281542426552,0.08516492595150436,0.08578786747335722,0.08610255773420321,0.08647627153635937,0.08669074864341948,0.08719920746864315,0.08760089532454385,0.08789865510011026,0.0879042656207581,0.08790378892331709,0.08802140389075815,0.088084211599228,0.0882971014042448,0.08832706321401225,0.08795824216226968,0.08773219962369583,0.08768054623833968,0.08736607405797618,0.08650613821665196,0.08615246507013928,0.08575371032918129,0.08567577266431417,0.08540221690307798,0.08482905065537903,0.08379065319591286,0.08371953690477714,0.0822952309192812,0.0812436891087851,0.08034667203483709,0.07941873643624847,0.07785765512844922,0.07624442339885013,0.07609076187068355,0.07490629788786482,0.07379994123389101,0.07269831413002789,0.07138527924695197,0.07059552912202562,0.07003402780129625,0.07009390427771717,0.06991070746124853,0.06951874215408282,0.06936021656500356,0.068681719869068,0.0682303927180566,0.06842910836870557,0.06375252869859098,0.06849201345784288,0.06850133309356683,0.06856275580458292,0.06821121126458576,0.0676404552957868,0.06704650921868763,0.066423857560694,0.06620192916147799,0.06615012930455132,0.06592435049289001,0.06540361938647457,0.06493930901445592,0.06449852259442085,0.06443852877511555,0.06403363237174313,0.0634959879917768,0.06293666415010023,0.06288346729747903,0.06250535746593382,0.062482566112948563,0.06264929560150692,0.06280742580461791,0.06274503044884154,0.06266863959513035,0.06265781302619002,0.06274280723553648,0.06307765465648803,0.0633264322141379
stat_17,0.23080214701318805,0.09759985343596117,0.1505942251678304,0.11120326570336254,0.14736901625928026,0.1395301337338811,0.14701257296459028,0.1470311514598609,0.1470329624659366,0.14700683252411867,0.14695776891716741,0.14684694164227893,0.14671476309510062,0.14659225920843133,0.14650872742397675,0.14643022096371228,0.1464227773201697,0.14642417129083227,0.14632923875549267,0.14621295057920508,0.1461125166486579,0.14613615610341513,0.14647159869355025,0.14653392469548818,0.14704542624933264,0.14727061188914486,0.14717725257773892,0.14725551012808938,0.14742966494942486,0.14743662394790952,0.1478626150556347,0.1478748580264122,0.14830321116978976,0.149107257940413,0.14963889393064997,0.14977214290526106,0.15013767747834875,0.15022900757925772,0.1505264653089848,0.15034916000338347,0.15045498709353325,0.15084016356248864,0.15092010487146879,0.15083188933640412,0.1517240682039946,0.15218973026869695,0.15279341041332242,0.15304409210915196,0.1537805300766797,0.15425162531128828,0.15453509171696067,0.15442623368029829,0.15442033698742064,0.1545340689713251,0.1544497287611177,0.15461486833622431,0.15442088184787853,0.15356083271005838,0.15314472371471696,0.15304563176940264,0.1525018933093691,0.1509715212126776,0.1502516908629991,0.14954976384113,0.14940936551904996,0.14890840815591985,0.1480334031451899,0.14655997515009084,0.14645547024304922,0.14415633739936703,0.14261176366244702,0.1412931415846377,0.13970246521894444,0.1369834644925454,0.13435383127061612,0.13411795453572378,0.13239928997223066,0.1305494577300052,0.1285577311806992,0.12628031458461847,0.12496183634955248,0.12413127615821293,0.12430981465563669,0.12405286665437573,0.12340872021700483,0.12318205685624141,0.12201260039774764,0.12121497672711386,0.12149969218525775,0.11129449703756657,0.12150192747954452,0.12151089273866464,0.12141630008171932,0.12058449231092133,0.1193979664695082,0.11832320531797495,0.1171633835455494,0.11671963756165173,0.11662800663115909,0.11611973679441781,0.11499463564860507,0.11406943061590251,0.11314421748967358,0.11301714051999877,0.11208696781108148,0.11101803473941534,0.10983116779676445,0.10972680729736362,0.10899568164181692,0.10885964474401433,0.1090550991891835,0.10936547415002176,0.1094156095436916,0.10931411664002336,0.10929055976478969,0.10939901537482041,0.10995395664699235,0.11041865016723085
stat_18,0.17664680022375326,0.07436065388436625,0.11613193889361251,0.08543643611901598,0.11326984914046054,0.10859462350919175,0.1129744795273039,0.11299167486772775,0.11299348481694811,0.11297078767792454,0.11292363939602454,0.11282316725340683,0.11271224166097908,0.11260916351313702,0.1125305863617892,0.1124544711283337,0.11241845258586067,0.11241796240986013,0.11231844203881768,0.11219335266610628,0.11206642241689031,0.11200904555822992,0.11217468954587081,0.11218112850725007,0.11253295596651597,0.1126273941961221,0.11248074418314244,0.11246806316461526,0.11248918457964356,0.11241857039958629,0.11269083629218328,0.11269622861482731,0.11293607100517532,0.11344478064092123,0.11383337138922157,0.11393253895038634,0.11425376677017086,0.11438301223418247,0.11466720023220524,0.11460225731610682,0.11472427521321876,0.11500592056738165,0.11513026806670927,0.11518748769749268,0.11602525407307245,0.11644572376370291,0.11694376427805435,0.11722089665719496,0.11788793661045975,0.11840173352609497,0.11875715387148462,0.11873735149922575,0.1187355249881666,0.118881307806923,0.11894822743316642,0.11921123508628954,0.119225892262743,0.11872681483891107,0.11843657059981562,0.11836616063180656,0.11793914764192426,0.11677555609146968,0.11627061232293978,0.11570799470907696,0.11559955502781788,0.11520604646414,0.11445554810695004,0.1131191809237912,0.11302684128718374,0.11114832043480183,0.10977170485868437,0.1085836151703497,0.10733382722850782,0.10523820933662258,0.10308047974862918,0.10287602364150757,0.10129834219134126,0.0998103915119059,0.09832078876931069,0.09654722554641464,0.09548153546028311,0.09472657900091638,0.09481086893756102,0.09456601905186157,0.09403765818457471,0.0938241950222138,0.09290879396388037,0.09229867028004779,0.09256480885761956,0.08610717887310856,0.09264576836921905,0.09265809684317454,0.09273329034610334,0.09225067832572541,0.09147209497674469,0.09066908303502298,0.08982623595459578,0.0895231241610292,0.0894522756037216,0.08913720675554114,0.08841377934577381,0.08776917718297575,0.08715772665217832,0.08707355861196756,0.0864973909692628,0.08576193228629282,0.08498401745259716,0.08491112654901728,0.08439283111396334,0.08434311446286757,0.08454802423996453,0.0847624439237651,0.08471282709381411,0.08462769867182651,0.08461343841820507,0.08472474835289365,0.08516690612489797,0.08550955869496014
