,AI,CAV,Ds575,Ds595,PGA,PGV,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.02,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.05,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.1,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.2,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.3,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.4,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.5,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.75,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.0,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_10.0,pSA_2.0,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.0,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.0,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.0,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.5,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832
stat_1,0.6103659886702284,-0.05634588895492319,-0.6647716354170908,-0.598816027674013,0.5876543058057373,0.3602389969424488,0.5865664698304747,0.5875979263021422,0.5901774388379971,0.5928722808479974,0.5958135399529346,0.6054046522288102,0.6220098371392198,0.6474129363969273,0.6244662198171055,0.6003405081635165,0.5881119169680933,0.5873748268476002,0.5799058925966338,0.5764698491608524,0.5760086082706596,0.5807346152069869,0.58139243814639,0.5687832957787289,0.5639265630505369,0.5808540667847942,0.5937788023371784,0.5797556699830035,0.54626446026194,0.537483350658025,0.5370167498681924,0.5379937780536967,0.5209841070418005,0.5018118192557787,0.4782049703844319,0.4860088699742177,0.5003778399776323,0.5423494208992607,0.5347272475887201,0.5520195120935218,0.5989952558188877,0.7080062354508312,0.6926193362542622,0.7238650275249316,0.7145281471419498,0.7136404822991181,0.791180814402392,0.7920488175355634,0.8018488985037691,0.8034910296213545,0.819315364134347,0.8165905310252232,0.815543879449142,0.7725164102388539,0.6824279868910375,0.6458170284306712,0.5812979413836912,0.5231079642501357,0.4693528521448555,0.451096001481138,0.36525429762017614,0.31715864334641897,0.2959206669310538,0.2440532093167483,0.24413802003704402,0.21749904148019325,0.17777313116254823,0.164675211189833,0.1647141024106484,0.17644083083205567,0.14014443639486662,0.05108111073828637,-0.009026494683716845,-0.05590908263461536,-0.024359923705758513,-0.022211745791400592,-0.03465650657118956,-0.06625955158608278,-0.06323985618640732,-0.05236630340120779,-0.0717302600818401,-0.09052467145849817,-0.06686779136083847,-0.03531508890600244,-0.04324812572646569,-0.10596013139916961,-0.2350239595873949,-0.3762028668015082,-0.4570526249050416,-0.4305675827809848,-0.40236364062260327,-0.3941264570578575,-0.2737343150067893,-0.23209308151741959,-0.24957551290248484,-0.268821482376592,-0.30759235170670335,-0.3154164342295285,-0.3237038243790573,-0.3227148543000449,-0.3148688009187406,-0.3093232159085925,-0.266855805422087,-0.2604589463686473,-0.2822482161587478,-0.3154723763959861,-0.31818364934233684,-0.3181976134789528,-0.2757682737450064,-0.2657247080730363,-0.35338274027127964,-0.442188567514286,-0.5082525266724411,-0.5754544231034318,-0.5813773246456029,-0.5945203395139559,-0.5967968728503099,-0.5429663637218665
stat_102,0.1786805580398314,-0.01747155998394514,-0.47915174989307624,-0.37319263754379406,0.2102174794730704,0.086157449546893,0.2084677306379864,0.21002346320414475,0.20738009269617588,0.20328359350149752,0.20739063253740128,0.20709082846768384,0.1990638704187532,0.1907250388226991,0.19645169583666208,0.1908353144513274,0.18735122979537855,0.1851989368903493,0.16916215059115408,0.17038983989358641,0.169677921263841,0.16499259396523203,0.16683487001309655,0.15452262303643985,0.13806503526010067,0.16998912733080007,0.19282801649328557,0.2231311276520387,0.229344378327715,0.24688800755617554,0.2513996746861075,0.2517846203902961,0.24763183983329976,0.2744651958019053,0.299610588732837,0.3278335607854031,0.3598424815228987,0.39488274461295636,0.38020677584513973,0.33797479073471015,0.3417771904654797,0.4061353864641619,0.43759454126378217,0.49844513580959454,0.43997357281856536,0.4346598628062846,0.4359154625164491,0.41535558155581226,0.4132070324963952,0.3360704941303963,0.2669588748108511,0.24281611367052297,0.24314019537958703,0.24586819120562495,0.2319087680483397,0.19496530562384876,0.1411703412361505,0.11075275052957632,0.11317502397095577,0.11556039942156064,0.11358481850606054,0.1030854078109766,0.08830994489025795,0.0472281247195025,0.037404114737128694,0.0018490172917377085,0.0036511086179555298,0.010167056334876372,0.011425759863392428,0.02449822191673893,0.04899559200179485,0.04933606005556204,0.09660175438921347,0.14725384955648532,0.1807562545711362,0.18056331657071759,0.17021260228812696,0.1271442656848452,0.09198394889851215,0.03479844155923696,0.019980208560320505,0.01963691440606203,0.0341788136112415,-0.010794235048841664,-0.025076461205288236,-0.029816860908867066,-0.031452119007397014,-0.026438078723933084,-0.005432440198494768,0.0837340364744054,-0.01057998525231741,-0.011279297510134241,-0.005141127233117277,-0.00048001034655741076,0.0015023824964330342,0.005356781703868424,0.028535469959757562,0.04704372293867535,0.05154581884497224,0.07351882453737504,0.08483038494717107,0.09600869284704956,0.10139270341518952,0.10187970733740283,0.0929734645153572,0.08883212809068365,0.08182967219583845,0.0809558086937732,0.07867094897971871,0.07542873010001713,0.07195780294865574,0.07265152675857366,0.07445747612309112,0.07154625130779754,0.07103913731984143,0.07110790928179371,0.07358650781397394,0.0797633589346949
stat_103,0.15795580479737692,0.21476692113792306,0.04916339710716891,0.23459080934310989,0.005604611230103526,-0.10737644097318222,0.00291968395365172,0.0023376855398560747,0.0023529020114780538,0.0015550671869409799,0.0006795324563150076,0.0002656361471748901,-0.0018899214774763028,-0.00449142820122679,-0.0038158235112477107,-0.004836555293153275,-0.006029318241885051,-0.006143979566424711,-0.008701718953711541,-0.009657817269476208,-0.01302595541228615,-0.016309273532988774,-0.019394280054410195,-0.021469809686709973,-0.016991144456078883,-0.014538920450974817,-0.013048540672689596,-0.013572417008242396,-0.0038875886026214367,0.005323977518501184,0.02731927194499178,0.029264798337050764,0.05358712541379067,0.08135607100269791,0.06938289460153448,0.06119785541097963,0.05035601392857306,0.1130853778291515,0.2125143044561147,0.2727934349334137,0.2541903403257306,0.1731800197276414,0.08384096010109361,0.03235646598654908,0.03058215308085944,0.03172631576436,0.052586209117953205,0.09066030111053962,0.1468190127080365,0.19414971688511662,0.15074851942968281,0.0543856112905659,0.049529836561712726,-0.0032771165411224425,-0.0001309071791834941,0.04799602075370146,0.08642103477968027,0.1534519918811042,0.19305527875291742,0.2010888937939412,0.23778595050743112,0.21349694529311067,0.1831232703171579,0.130297131530784,0.1230073213209287,0.05694780477847052,-0.05857502601948426,-0.22106974169709867,-0.23202633834633807,-0.36309933545206696,-0.4361077634062427,-0.44986524480607804,-0.43417848203590625,-0.375102405912304,-0.3521717436005569,-0.3508939267953901,-0.3295357933017706,-0.33100290141098043,-0.34779411972146285,-0.36398913124028337,-0.379596851400993,-0.4467729247077048,-0.48781109852547583,-0.4808924659909492,-0.4243672823224311,-0.3586516259757606,-0.2748361083423624,-0.20622238802103518,-0.17425515515435883,-0.14620184139571138,-0.18622927091696273,-0.18706770168368328,-0.18348166383078762,-0.17296755274294698,-0.16063921447002566,-0.14428127016047343,-0.14420499349860688,-0.1353080788944649,-0.13227512596167273,-0.1294509618119696,-0.139084435270883,-0.12609926179374942,-0.12228862602759326,-0.12197119095049681,-0.12507523158741027,-0.156685347533126,-0.17275617083444003,-0.17342682267488177,-0.18901996777074645,-0.20719358971251658,-0.20713264099151096,-0.2019154779878898,-0.21341982189035097,-0.1991772189774801,-0.19663880666051234,-0.18951472821599424,-0.18945710655673545,-0.16898351915456183
stat_106,-0.5545184111343642,-0.10413253965856055,0.323594288430148,0.3822588061761752,-0.46360677242534737,-0.2414231105529727,-0.4676014786835264,-0.4669702687925716,-0.4679849380566326,-0.46506280577898246,-0.44432294036774295,-0.4514538960702639,-0.4466736913312093,-0.43384476476773126,-0.4436201721445645,-0.4333774739991261,-0.43028111023301435,-0.42896284417226227,-0.4075393237076223,-0.40977983809563573,-0.4493749765757223,-0.48274780043361026,-0.5131292345657275,-0.5194900834245785,-0.5229890745001589,-0.5389385539960349,-0.5579299016380942,-0.568539953651788,-0.5774041625232171,-0.5920354944716294,-0.6011629614744309,-0.6012126561456954,-0.6164844651331793,-0.646066509108325,-0.6757107609978471,-0.6873516583649055,-0.6912471017934475,-0.655754690930307,-0.6600429163687626,-0.6462291114435,-0.686178287142801,-0.726554761826616,-0.7352113643496622,-0.7395253275917004,-0.6590189283135074,-0.6104868786907163,-0.5261730351628173,-0.41737248665249715,-0.33868689434156357,-0.3351296093023392,-0.28416128588346884,-0.2666060606814701,-0.2640454459412918,-0.2864952524230052,-0.2668650741154528,-0.17420873759381286,-0.09444012606939907,-0.08230468020291419,-0.1333454804623606,-0.15464384113569787,-0.1376692465409617,-0.12987059094624512,-0.19448586038980886,-0.25693961941274257,-0.26562070977554564,-0.2759273976567949,-0.3048896184806229,-0.3844959865308642,-0.3877180817628456,-0.4692089507668923,-0.46710969621567267,-0.437649116527506,-0.34787851238760775,-0.261953891764286,-0.24205202700363765,-0.24403559288969998,-0.19902497217247894,-0.16029898145295265,-0.12550052791073782,-0.09872395191528764,-0.056129090572302025,0.010955981168834289,0.1222934557510585,0.13793642980735904,0.09952714784048786,0.16299663710359324,0.2683621171629074,0.2989963542100339,0.36913326343095754,0.004685806310352326,0.38184980860897405,0.37755006898855814,0.28374661401693685,0.312081199977352,0.3606892891198647,0.37107292802757047,0.3355786981590429,0.3193452352099151,0.31559297118180846,0.31169355259299136,0.25387939559605743,0.1931024323517211,0.1507532974347305,0.14691977739497936,0.1153577447809244,0.11442526932429906,0.09561005225438869,0.09675403890528744,0.11114124754470567,0.11890776222467547,0.09162739183226754,0.0687075701354277,0.048556793816484436,0.0023778182199001782,0.003371485444485802,0.014391691473358822,0.028119756978997285,0.0256408814470813
stat_107,-0.5142611446908167,-0.2952964770524634,-0.03832928440669848,-0.019910513094090133,-0.28375950218326723,-0.25601961221119574,-0.287417568215159,-0.28777147228817107,-0.2880769664770567,-0.2883879945053408,-0.2887660404450183,-0.28891591195321226,-0.2918304904957681,-0.29447360097678177,-0.2950603782911603,-0.299626377421508,-0.30068005710779483,-0.30073357881999674,-0.3006613950813919,-0.3046782711063115,-0.3089129395847413,-0.3198562763202389,-0.3253398516773631,-0.33151478541187107,-0.339311470262656,-0.3605036399003175,-0.3833568239801605,-0.3818550818860843,-0.3588489101657965,-0.35932052350044813,-0.35532019105978957,-0.3568760393412548,-0.34266483017560023,-0.3872550308177378,-0.3897721467778008,-0.40150743379942433,-0.4424583184808732,-0.4182489915081273,-0.35714978352312027,-0.3327020372596481,-0.35937306818754866,-0.3683505167132083,-0.32508345630741453,-0.2570111515588602,-0.18481366838761837,-0.12178119608596227,-0.10779844839393678,-0.07553457305917072,-0.06912286297538486,-0.08315358123278455,-0.08324872945278841,-0.14440986818568838,-0.15001613318557364,-0.25328946318979356,-0.35039421080190025,-0.335173065441961,-0.31745585804969145,-0.30460799897221447,-0.3333834010620512,-0.3392067277242429,-0.3358824417878726,-0.296789055746003,-0.26711598849636403,-0.26413267635507454,-0.2618560258896413,-0.2274324809886715,-0.25281549656396346,-0.27855260315736335,-0.27792746685454367,-0.259169237102819,-0.30710732606823293,-0.3368407921433074,-0.380909158425218,-0.3869348218811115,-0.3782386929030994,-0.3749391850972195,-0.38986225705512173,-0.3939368157104631,-0.2313645081832931,-0.1458402275027083,-0.14710388309978734,-0.13244996917290544,-0.15280446338826645,-0.09267848365893146,-0.02959575374357038,-0.02145390228904198,-0.01969823341135048,-0.0004168465828070138,0.00034549018615115515,-0.16434130754586335,-0.009975851194958656,-0.006806901983383578,0.029140546461098066,0.08620256949570426,0.09934717292743488,0.17040784078053553,0.19075001475458792,0.18133418841148352,0.17727632854885653,0.15337451546231434,0.14640267644961555,0.12335901597083639,0.10385432030766173,0.09648135854313135,0.04723136254584101,0.029521589187410824,0.04188249311346661,0.04253644055536972,0.05693007077900889,0.05418829967858937,0.022847967752004896,-0.002138358609288831,-0.04359553657829777,-0.04832335480473814,-0.049755036691507104,-0.0667957702624701,-0.1014026478485613,-0.1369156165007678
stat_109,0.02932089539820422,0.01529579972287944,-0.016222335595189475,0.08105674364040236,-0.013007583024662116,0.09205088859300524,-0.014964105797942974,-0.013412218258113446,-0.014091147643492312,-0.00950471238676191,-0.008789964133123922,-0.007901158679332283,-0.005928555042029988,-0.007164541345616433,-0.006374193940421257,-0.013842376052623931,-0.020076299922483276,-0.020069094563422634,-0.01732242120675034,-0.027725070979469135,-0.030205789208494052,-0.0291182911110701,-0.032956878653815955,-0.04022456560491484,-0.04314214958556878,-0.05421628743736493,-0.052812878705345186,-0.045344508517912455,-0.012517448000772457,-0.03935820922012216,-0.06318770145922262,-0.06417598738542249,-0.08643149642514353,-0.12085434726126708,-0.11855908070743927,-0.13956745080392352,-0.15327752996231955,-0.15320087588023376,-0.13935473528297312,-0.14453291748310684,-0.13844719599839045,-0.16546959546257411,-0.1913492850977412,-0.19468401412268196,-0.157174814179643,-0.14396108404568236,-0.10415570576629021,-0.06149419434777173,0.006125045496220766,0.02623117020012674,0.0071128037208525365,0.06413633161663783,0.0667106569910444,0.03966401732211699,-0.030995196369237105,0.027033275144295085,0.058401162432746886,0.13455481773665776,0.17381621897930008,0.18499526974752656,0.23883670818920963,0.24872066549486896,0.18634213129933794,0.16165375089804437,0.1604914882547307,0.09718679513624204,0.08443611332544071,0.09138275040596047,0.09204475240905739,0.04410097679255183,0.011596193761924119,0.02087538558202323,0.014028984518536333,0.014462195440926591,0.05949220011155802,0.06565740746251775,0.10004608687684022,0.09775753630931604,0.054819736150193525,0.037750405473280624,0.07454032387238443,0.09962592030359912,0.07490202985059673,0.05660623592251558,0.047038336948654905,0.04735485322802285,4.681088161049823e-05,0.0069614287459623695,0.05345603481851831,0.1483672002121593,0.07655813748658043,0.07726652022072791,0.056636774617681435,0.031104478826092862,-0.01736050153507838,-0.037880129889914266,-0.023770779613928716,0.016606840802611673,0.031502521186325474,0.09301588152306145,0.1103846621994973,0.1012888276210035,0.09976787205583115,0.09818876752192505,0.08251727400018562,0.09678832758775344,0.11229557345191821,0.11256850682494843,0.12564572121527787,0.13178554863557324,0.12010959766900003,0.12443815235827045,0.14636853535917183,0.15193333347026014,0.15166634593517866,0.1520509062537068,0.14531546523364045,0.13219144892403004
stat_110,-0.4905517482690701,-0.18616040338737358,0.10606344120750359,0.08930238778395938,-0.33928868632402687,-0.16889514470250772,-0.3413741156663742,-0.3416556354304955,-0.34222097063305285,-0.3428145608801081,-0.3439389307064474,-0.3457206052662621,-0.3487301389001627,-0.348696842611016,-0.347343977464354,-0.3476463017976538,-0.34900357667105414,-0.3490636019840832,-0.35420318193672407,-0.3567359287249701,-0.3586825025816728,-0.36106296745446526,-0.3641539275156855,-0.36589081887339403,-0.3622309478080232,-0.36213934038600776,-0.3618295451650201,-0.3621685913234883,-0.3718060986691548,-0.373314601501426,-0.3578542293010619,-0.3559197244375247,-0.33255375699799705,-0.29830518851058385,-0.2722437461604248,-0.26301203247479604,-0.2608515804056605,-0.2696270658198688,-0.26667752979268583,-0.28285691238317806,-0.3187490822969077,-0.3450557417472591,-0.33355219549134096,-0.3368013633908559,-0.354691815658387,-0.3590196848947256,-0.3475709216159545,-0.3384777180455936,-0.38186567497204893,-0.4374217575739671,-0.45193884942152596,-0.4321761540982497,-0.4297443854158284,-0.42634752473773896,-0.45205949148884816,-0.4552838479375709,-0.4314920701394447,-0.3842938313423471,-0.3378748757469541,-0.3243449083803717,-0.29466548200861137,-0.29225488768031055,-0.28637769516955514,-0.26704854440264764,-0.26128468533228744,-0.226013639139364,-0.18827084121084658,-0.07757284882848582,-0.06847035610638301,0.057172091828389525,0.1890958453640539,0.29894807718770683,0.39142655671963655,0.40851930500055034,0.3754279056669876,0.367714091808692,0.3038793309572555,0.2310406981385469,0.18444286196289045,0.13136433208185924,0.12781006555430413,0.1083283725745555,0.0875515990520353,0.0788378676930556,0.1056397929344046,0.14077415948837224,0.14497814882803378,0.16325163686787314,0.1781600164454681,-0.021643254779858106,0.19594301955304783,0.19757851658723555,0.2163610783284312,0.23181419276412754,0.2490643753180359,0.23915763427364417,0.20341587056509616,0.16145672303503017,0.14868437498511772,0.11969260133693854,0.10457815177077366,0.10253460128982336,0.11538334591954885,0.11651320376216524,0.10334063495843887,0.08878746808347278,0.07885246462872782,0.07930802245562833,0.08454383796986045,0.08913113494049087,0.09086528949327043,0.0847494806031889,0.08430981268804481,0.06952691503481047,0.06653534999890856,0.04939039771107076,0.03159894503483713,-0.0020977799880402552
stat_113,0.07559050229080254,-0.06465311099972777,-0.1768517596828076,-0.23974670840860035,0.20328886797895762,0.035941845417339205,0.20569019972637229,0.2054250506356955,0.2056716693466046,0.20565058697623437,0.20495456398175488,0.2045862577776711,0.20473816334874384,0.20379992129658434,0.20491053056467834,0.2096462102019863,0.2147573088156177,0.21492678644722277,0.2151990659012962,0.2140799866983711,0.21296782237051606,0.21816168813284134,0.22382834738745888,0.23145631852938273,0.2610392403907157,0.2914074968924963,0.3201881429878703,0.3167804840216565,0.32492049739612716,0.35818583155034445,0.4445963504168671,0.44899492515009565,0.5021329537369996,0.5092374974480189,0.482761071962568,0.39850805529138855,0.3090922509624505,0.2689158042652742,0.23321486730372828,0.20614147220560572,0.177235481182409,0.17888201508640622,0.1537078453979054,0.11408921918506847,0.07551486124612558,0.06822195995802777,0.0342956619268436,-0.0033712128563679975,-0.04209075710779469,-0.02778354838320629,0.010553556275772312,-0.015030059577815247,-0.016414436087358986,-0.0140763033299244,0.012534247673832804,0.046360732109318924,0.051597692511410345,0.03835144183222921,0.012895884108191667,0.005149294103066034,0.013413837596917949,0.0012105275859178512,-0.003755546658809806,0.016492941744538657,0.02435914333222,0.07571785380533579,0.060363234760031796,0.08114758035216219,0.08430233164810592,0.11543709799154243,0.15358081732382362,0.17912473105834376,0.21833644674650204,0.2533464654245005,0.26770373487429117,0.2706567975470224,0.2651198205071617,0.2246859384556264,0.16771931336670143,0.1069941450629964,0.08048458205212657,0.022982072444139887,-0.02294941986265169,-0.06019950128665425,-0.0637592915141251,-0.07868865324122487,-0.08841348055567218,-0.09877727639807901,-0.09702743800937734,-0.16327843035808878,-0.0926522914118288,-0.09185710045731645,-0.0769056283980233,-0.07005208306021184,-0.06963523240938004,-0.07524497664969297,-0.09807359344243212,-0.1077588085423376,-0.10995109435077269,-0.11940725485414136,-0.11369909481596484,-0.1000505958177969,-0.08797238066607295,-0.08570149925201562,-0.08637897168779161,-0.11072582905039485,-0.12163419656574913,-0.12173650705534275,-0.11334186211796592,-0.10510459878330511,-0.08883170308723624,-0.10639266476582941,-0.12566530027411957,-0.13553451432638117,-0.13603513190353544,-0.1417678200914824,-0.14098936552624103,-0.15149322175630578
stat_115,0.5820938798410048,0.483020774858818,0.4426703134462677,0.3045159762186198,-0.017271516586302535,0.1980718677005684,-0.02030278144452694,-0.02080326074117101,-0.02108887938063963,-0.021819394353344207,-0.022054027203189077,-0.02303811638419403,-0.024879578262687687,-0.026715811291558703,-0.026652249353772625,-0.0278841226515039,-0.030508985729640503,-0.030774381742126135,-0.03361306727592597,-0.03414772631456306,-0.03403271758358081,-0.03689676826571784,-0.03990049416984277,-0.044774374921967224,-0.04808081272859133,-0.047229301921622086,-0.04966793599416764,-0.05733459891752458,-0.06418715735598285,-0.060645317512355676,-0.07720283997383329,-0.07780713867855232,-0.08342262945698627,-0.08536392532988449,-0.10714966871120538,-0.127032492677258,-0.14866996266672985,-0.17354228063720398,-0.18269710583146537,-0.22363743970804023,-0.28850265403928543,-0.3220739794911253,-0.3275593988093081,-0.29606638188529244,-0.22463733916999215,-0.07914290554718284,-0.00048659369001714006,0.010335547852382382,-0.04176219455873468,-0.09661501327950386,-0.11966786715114235,-0.11636691523481903,-0.11523795553223906,-0.11564347623457341,-0.1258528194954581,-0.08091396516045313,-0.048696182148010074,-0.018251357508830498,0.023376354208569743,0.05316107629946248,0.17399047012899543,0.2541689444628426,0.35871867898580323,0.44707539194650714,0.4520853197025968,0.494616723228471,0.5452546834915303,0.5641001627963639,0.5633876697803039,0.5768998924636081,0.6052465433464108,0.6226007000906166,0.5704830570370695,0.5591921579377991,0.5308768621188182,0.5241370226504293,0.5271851600823432,0.44488423091411733,0.4102971389896581,0.4278541065569412,0.44134167347154046,0.4529064562134814,0.4407765607668561,0.4490720927123959,0.39606436431738257,0.3711718215001194,0.3868904290994052,0.36011699331384844,0.3367489080886214,0.30102930677718914,0.3399981741634759,0.33994619542871163,0.34259665834439446,0.310941500794666,0.29088649810632133,0.30412061439172566,0.32335904883972394,0.33422310850915204,0.34143165674871034,0.35484016899247706,0.2935350500131473,0.23875764573034067,0.23122551719561826,0.2351360200812451,0.2675534815986886,0.29374491700014455,0.31034565332739217,0.3114459676090461,0.3110018226739708,0.3139561528544086,0.32061465138402595,0.34256525586825065,0.33710733539743615,0.33774812435441043,0.3374201004475033,0.3239633380325854,0.3095416897742523,0.29749378594596354
stat_118,-0.2733547399902274,-0.285734292031119,-0.34240380542528753,-0.19678696412576813,-0.07184850688835952,0.020262639253200567,-0.07490447008195308,-0.07525232860303444,-0.07420773858194805,-0.07501726822353814,-0.07257559237531953,-0.075907944231767,-0.07672038562788602,-0.06603164922669645,-0.05227102499299675,-0.06653771215672467,-0.05618048658152955,-0.05630531028434187,-0.05507299033711493,-0.05480362443807012,-0.04683820284796415,-0.04665147129235918,-0.017890539421559264,0.026036266503874875,0.0150744986341492,-0.01768979414555822,-0.04166485315725184,-0.0517081590986121,-0.11544612052140678,-0.10363999597607293,-0.0416221020382747,-0.03996432240125352,-0.04250256404864384,-0.04065500377340713,-0.09597929550927707,-0.08650660594380272,-0.0968927072247702,-0.14241611630150813,-0.14845176732362603,-0.1521928634906925,-0.18252659393791193,-0.1481889800012883,-0.08536424965120185,-0.012480555936139262,0.04643070317616992,0.08399949595707874,0.052024781744634596,0.027876608832762956,0.007318698905554965,0.02259039951907691,0.0046696473974842155,0.04448568968631447,0.04480443203946947,0.028464165105027785,0.013105217348806401,0.035149438010535425,0.023862390312634266,-0.03634358295579147,-0.0313038317857359,-0.020871540074944555,0.0028054090636362612,-0.03038324597636541,-0.01604507551731669,0.034285733055267796,0.04588488819899584,0.07627864152101618,0.0014928515759431082,-0.005759868221276913,-0.00605707754899524,-0.01179324291896136,0.001399852716407074,0.01092551525477172,0.03309830821016569,0.06537506698697097,0.09529616386311918,0.09050921273992889,0.0424668418767423,0.05695841265822668,0.03739830926462795,0.10810627302778796,0.11266577609006974,0.11007299912201847,0.16376042352525078,0.21469953875565778,0.218235845161428,0.15082425030939695,0.15265501459893774,0.15195102086409937,0.13551623850537095,-0.0034427437880512075,0.11799618498072617,0.11570803392795308,0.08024937428508097,0.0604455303896127,0.05457994618941675,0.07777406400420321,0.10028522252427667,0.09222150879783221,0.08414251720446778,0.08608206536148762,0.0743251378012208,0.04513234382394596,0.030536117767060025,0.02859056154890158,0.013809192346432844,0.011721627367720746,0.008423764956783469,0.008632259428384793,0.006061501462873603,0.005478007269872213,0.007982925672352209,0.015862945829118073,0.024718591782649405,0.03081129034350674,0.03145010058950064,0.03224717430888192,0.018520067713415186,0.003836193719927129
