IM,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
AI,-0.12213749146674323,0.06584985996102384,0.7058304673085664,0.7671542273115859,0.738484409460665,1.2775294439188212
CAV,0.20718666569475824,0.03277312582045302,0.3175410048336084,0.4031534485878213,0.305552417363737,0.5972665004969006
Ds575,0.15783565021322407,0.029575714722753183,0.28395272729169274,0.32959102936169465,0.5231435257831919,0.6803958748706235
Ds595,0.5054281955651773,0.02541219433920902,0.2669515098591805,0.2857733747935495,0.371169104217895,0.539162345015771
PGA,0.07454469708541292,0.036503374291044,0.40332207331987285,0.40915259891766637,0.4842611964002661,0.7513876831351035
PGV,0.026638158114305407,0.0312848290728908,0.38092689605170793,0.3238283421970395,0.47526748998761414,0.6898182966439774
pSA_0.010000000000,0.06508468299565337,0.03619898216229614,0.4045734774990065,0.4032690720113586,0.482629976812606,0.7478217285253739
pSA_0.010722672220,0.06539858263649219,0.03619420286743337,0.404627297488307,0.40314221962652497,0.48272561656427393,0.7478441816350855
pSA_0.011497569954,0.06583714379696688,0.03617837359384397,0.4043796349529113,0.4029586161400118,0.48277543126292854,0.7476433993002478
pSA_0.012328467394,0.06618148775147366,0.0361552189964112,0.4039069013170667,0.40276027686736904,0.4827206621698994,0.7472455173767056
pSA_0.013219411485,0.06665376899091563,0.03614700399150069,0.40336517917420706,0.40289053467225266,0.48251180773743696,0.7468881410926158
pSA_0.014174741629,0.06762972498884674,0.03617927407491496,0.40312870783221094,0.40367467050231637,0.4819516991591792,0.7468222244992725
pSA_0.015199110830,0.07061022323686426,0.03618536906547116,0.4028490990274452,0.4039991476791591,0.48139258207820773,0.7464861190890527
pSA_0.016297508346,0.07390768300368546,0.036210245357874954,0.4028963482106847,0.40451859981052674,0.48082398161809564,0.7464264640895667
pSA_0.017475284000,0.07419280158373275,0.036286545334955254,0.40329555855540167,0.40581264215157553,0.48027942094853987,0.7469936614638847
pSA_0.018738174229,0.07607213756464595,0.036357933010285795,0.40358072266501827,0.4070648535737121,0.4797563392764263,0.7474927021702109
pSA_0.02,0.07895411524219426,0.036493384432151686,0.40387674289731285,0.40946556465359296,0.4793198342166786,0.74868282707962
pSA_0.020092330026,0.07912320943024966,0.03650351693391589,0.40393880496453255,0.4096254875717367,0.4792967083612148,0.7487889775300202
pSA_0.021544346900,0.08090353439388163,0.03663147596784236,0.40452266849986507,0.4118046945907882,0.4785378580796987,0.749813428415876
pSA_0.023101297001,0.08217936400265863,0.03679203474869936,0.40508535773218846,0.4146103947515148,0.4775963767609145,0.7510620650653149
pSA_0.024770763560,0.0828046332206452,0.036977070766871005,0.4050326991776425,0.418132324096462,0.47663963979207385,0.7523772152840311
pSA_0.026560877829,0.08448123592952886,0.03725070120989843,0.4044918147394928,0.42342609197022013,0.47591151560379175,0.7545827020524123
pSA_0.028480358684,0.0846622939900488,0.0375727142943852,0.4034129709725336,0.42964644483556924,0.4762330019877927,0.757717602336804
pSA_0.030538555088,0.08248333243431778,0.03779485369879348,0.4040473421701813,0.4334076178221554,0.4758772135283757,0.7599707496059269
pSA_0.032745491629,0.07832867967440152,0.03809014044672264,0.40531946741370223,0.43796883107734647,0.4770902903171635,0.7640129009216401
pSA_0.035111917342,0.07522047840298628,0.038502452899307954,0.4060372946692761,0.4450483300024117,0.476890337300694,0.7683480295484917
pSA_0.037649358068,0.06963074293101741,0.038870829764769195,0.4062531877354803,0.4516832268398325,0.4756327753083568,0.771547747648331
pSA_0.040370172586,0.06279738309719597,0.039276588931948304,0.4067842011485829,0.458734946723842,0.47499013467252554,0.7755815661076795
pSA_0.043287612811,0.05700845291643367,0.039839685548316184,0.406296641196336,0.46893457627022345,0.4743944785556604,0.7810420723323778
pSA_0.046415888336,0.048973197124504694,0.04021147803915764,0.4054939244583557,0.4758730301901471,0.4736586476187303,0.7843678844132999
pSA_0.049770235643,0.041491625920226434,0.040775636944458564,0.4079779494615464,0.48465579546203974,0.4742097746723108,0.7913356795422246
pSA_0.05,0.04077308053925206,0.04081607095276453,0.4081621927082393,0.4852913607840621,0.47418014471755127,0.7918023049047044
pSA_0.053366992312,0.030744058939650303,0.04157897899128549,0.41038299131588757,0.49764727315142193,0.4743885408379144,0.800694383466468
pSA_0.057223676594,0.01950242682167558,0.04230343606262849,0.4105944482660498,0.5098597392963296,0.47607779429481717,0.8094410546314297
pSA_0.061359072734,0.003945599568970099,0.042568057550179283,0.4122158451202542,0.5136043931995351,0.47757152163680716,0.8135022642627145
pSA_0.065793322466,-0.01223086905077582,0.04275434021537797,0.4139815119432979,0.5161165420436057,0.4777566439673702,0.8160933696929981
pSA_0.070548023107,-0.020771525767356285,0.042826114389475145,0.4175044469216067,0.5158445153297387,0.479029324939643,0.8184586864022031
pSA_0.075646332755,-0.033536282453501355,0.04276051461838614,0.4209596424736657,0.5133199197773199,0.4795166063999581,0.8189264536239399
pSA_0.081113083079,-0.04779588385750377,0.04249780358197491,0.4221955079299285,0.5080830590712508,0.48106988754392505,0.8172060196382154
pSA_0.086974900262,-0.051940805871499754,0.042269853775576724,0.4246605617501678,0.503179522558909,0.48086175022231,0.8153246270384839
pSA_0.093260334688,-0.05425770686635737,0.0420828584079863,0.4255740489950343,0.4994587670510255,0.48158658672421484,0.8139397838137894
pSA_0.1,-0.06231408742383564,0.042002573650840175,0.42354624550750664,0.49865478527883805,0.483149540798854,0.8133151269582612
pSA_0.107226722201,-0.06714159349641972,0.04151198361499042,0.42254731103755894,0.4903183829123199,0.4843289798797794,0.8084138218995341
pSA_0.114975699540,-0.06483013374245056,0.04073188558675789,0.4222543692917396,0.4765594095421374,0.4855105447779439,0.8007047597583589
pSA_0.123284673944,-0.067287706756936,0.040046418437841916,0.4237537360377874,0.46309354230909217,0.4903709144021395,0.7965466034237771
pSA_0.132194114847,-0.06932059402290179,0.03961709828985426,0.4224887602689257,0.4555918811986278,0.4930248789566891,0.7931798320922793
pSA_0.141747416293,-0.0720872157476138,0.03921374256635976,0.4196996178145723,0.4491269892405861,0.4960940491302267,0.7899190637276932
