,stat_id,stat_name,Geomorphology,H1250,H1500,Basin Type,Slope,T0
0,1,ADCS,Basin,2.006220217,2.368196841,Type 4 Basin,0.012185426,5.8
1,3,AKSS,Hill,-15.23369639,-20.75447886,Non-Basin,0.073357859,0.3
2,5,AMBC,Basin,-0.265460499,-0.362239368,Type 4 Basin,0.001886397,6.2
3,6,APPS,Valley,-77.02447217,-103.8998384,Unmodeled Basin,0.023782065,0.44
4,7,ARKS,Valley,-18.32372175,-20.01205335,Type 3 Basin,0.039917834,0.37
5,9,ASHS,Basin,-1.38950004,-1.63843574,Type 4 Basin,0.020782688,5.46
6,14,BFZ,Hill,28.30041106,31.89683135,Non-Basin,0.237609081,0.04
7,16,BMTS,Hill,-1.282553007,-3.441301633,Non-Basin,0.368185806,0.05
8,17,BOWS,Basin Edge,-9.048006802,-13.20180014,Type 3 Basin,0.025715532,0.62
9,18,BSWZ,Hill,-21.69009833,-20.54840521,Non-Basin,0.28784893,0.05
10,20,BWHS,Basin,0.267319727,0.364335108,Type 4 Basin,0.001424564,5.5
11,21,BWRS,Hill,38.18894609,36.80139573,Non-Basin,0.275227146,0.05
12,22,CACS,Basin,0.891590291,0.98983019,Type 4 Basin,0.002740638,6.79
13,23,CBGS,Basin,-1.439513718,-1.763297592,Type 4 Basin,0.000603356,4.35
14,24,CCCC,Basin,1.745118621,1.465714935,Type 4 Basin,0.002811257,2.51
15,26,CECS,Basin,-1.340820376,-3.611640994,Type 1 Basin,0.012665777,2.2
16,27,CHHC,Basin,-3.400750769,-3.49181713,Type 4 Basin,0.003579179,2.66
17,28,CMHS,Basin,-2.336321901,-4.341434549,Type 4 Basin,0.005084113,0.695
18,29,CMWZ,Hill,61.98427961,70.31121443,Non-Basin,0.055482845,0.05
19,30,COLD,Basin,-0.170989627,-0.102233524,Type 4 Basin,0.004735596,5.9
20,31,CPFS,Hill,-16.11723631,-17.16343611,Non-Basin,0.083771029,0.33
21,32,CRLZ,Hill,4.459638562,6.023611035,Non-Basin,0.24713623,0.05
22,34,CSHS,Valley,-16.47247441,-19.03137334,Unmodeled Basin,0.033975279,1.95
23,35,CSTC,Basin,0.752992764,0.911043301,Type 4 Basin,0.004365776,6.04
24,36,CUBS,Basin,-9.012552964,-12.24959253,Type 3 Basin,0.038546896,0.63
25,37,CULC,Basin,0.975437896,1.184071318,Type 1 Basin,0.006726797,2.4
26,43,D09C,Basin,4.274859904,4.618489741,Type 4 Basin,0.008201144,
27,46,D14C,Hill,50.37307881,60.01556538,Non-Basin,0.325100174,0.05
28,48,DALS,Basin,-0.078081892,-0.06566529,Type 4 Basin,0.000687828,5.2
